#Key;en;fr
EXPERT SYSTEM NEWS;1965 can be considered a peculiar starting point for the work on the creation of expert systems. In that year, scientists from the Stanford Research Institute, Edward Feigenbaum and Bruce Buchanan, teamed up with Nobel laureate Joshua Lederberg and began to create a computer system, designed to determine the molecular structure of chemical compounds.;
EXPERT SYSTEM NEWST;The history of Expert Systems;
EXPERT SYSTEM NEWSFROM;newspartal@cat.meow;
DSS NEWS1;A Decision Tree is a method of is one of the automatic data analysis methods. The first ideas of creating Decision trees date back to the works of Hoveland and Hunt in the late 50s of the 20th century. However, the fundamental work that gave impetus to the development of this direction was the book Hunt, Marin and Stone Experiments in Induction, which was published in 1966.;
DSS NEWS1T;Who invented the Decision tree?;Qui a inventé les arbres de décisions ?
DSS NEWS1FROM;newspartal@cat.meow;
RNN MAFIA;"Good day, this is Interpool.\n\n A large investigation, which we held for almost five years, practically lead us to the head members of the Russian mafia. Unfortunately, our agents were revealed during the transfer of important information, the phones of the head mobster. The bandits tried to destroy the data, but our specialists managed to save most of the information.\n However, this is still not enough. Many numbers are damaged, they miss parts of the numbers: 790088 * 1121; 79006 * 61122; 7 ** 08881123; 79008881124; 79006663 ** 5; 79 ** 888 \nWe need a working algorithm that will be able to recover the corrupted data, and the last number in particular! It can be the key to the completion of a long investigation.";
RNN MAFIAT;List of important numbers;
RNN MAFIASHORT;List of important numbers;
RNN MAFIAFROM;Interpool@cat.meow;
ML ANIMALS NEWS;American scientists managed to develop a computer method for detecting the toxicity of chemicals, which surpasses the accuracy of experiments on animals.\n To create it, they used binary similarity coefficients, and the system itself was trained on information on more than 866 thousand dangerous properties of chemicals which are commonly used in different experiments.;
ML ANIMALS NEWST;Machine learning will help the animals!;
ML ANIMALS NEWSFROM;ml_from_animals@cat.meow;
APP DEV;Hello! We are the GetBrains company.\n\nOur activities are entirely based on the development, each deadline is a burning one, and it is very important for us to keep within the deadlines. Under such conditions, it is simply impossible to avoid mistakes. To help the developers, we need an ML system that will find and help eliminate semantic errors in the code.\n Can you help us?;
APP DEVT;Help the developers;
APP DEVSHORT;Help the developers;
APP DEVFROM;GetBrains@cat.meow;
LOWGRAD_TITLE;Vanishing gradient;
LOWGRAD_BODY;The problem of 'Vanishing gradient' is a big problem in the process of training deep neural networks, especially recurrent neural ones. Passing through a number of layers of the network, the gradient becomes so small that it stops changing the weights of the network and the network stops learning. \n\nThere are several ways to solve this problem. One of those is using shortcuts (Gates) to pull the gradient through the network layer. \n\nAs a result of applying this method, the LSTM layer (Long Short Term Memory) was made, which allows realizing short-term and long-term memory of the network.;
FEEDBACKCAT;An analyst;
FEEDBACKCATDESCR;Do not skip math classes;
FEEDBACKCATPROMOTEXT;For the great feedback;
SIFT_OBJ_DETECT_BLOCK;Detects objects;
SIFT_OBJ_DETECT_NAME;SIFT : Object detection;
MSEC;msec;
ISOBJECT_GAME;Gets the unrecognized data on the input and classifies them as either an Object or as a Road\n\nObjects go to the upper socket, Roads to the bottom;
ISOBJECT_WIKI_URL;http://opencv-python-tutroals.readthedocs.io/en/latest/py_tutorials/py_feature2d/py_sift_intro/py_sift_intro.html;
ISOBJECT_YOUTUBE_URL;https://www.youtube.com/watch?v=oKAnOzIu66c;
ISOFOREST_GAME;If the element satisfies both conditions, then it goes to the upper socket, otherwise to the bottom;
ISOFOREST_WIKI_URL;https://blog.easysol.net/using-isolation-forests-anamoly-detection/;
ISOFOREST_YOUTUBE_URL;https://cds.cern.ch/record/2030962;
ISOFOREST_COURSERA_URL;https://www.youtube.com/watch?v=5p8B2Ikcw-k&feature=youtu.be;
ISOFOREST_HISTORY;Isolation forest is one of the simple algorithms for detecting anomalies.\n\nSame as the Decision tree and the Random forest, Isolation forest distributes the incoming elements into the leaves of the trees. The fewer 'questions' it took to separate an element from the rest, the more anomalous it is considered to be.;
TUNE;Tune;
CAR_TEST_RUN_COMPLETE_HEADER;Test run : Complete;
ISOFORESTSHOP;Isolation forest;
ISOFORESTDESCR;Anomaly detector;
ISOFOREST;Isolation forest;
ELEMS_HIER1;Recognizing objects;
ELEMENT_HIRE_TEXT1;In <color=#ffbd18>reinforcement learning</color> tasks, nodes work in a bit different way\n\n All data is initially unspecified and your task is to recognize it and transmit it to RL Agent (the AI);
ELEMS_HIER2;Elements hierarchy;
ELEMENT_HIRE_TEXT2;Nodes distinguish one or more types of data, and also process them in different ways. Type, correlation and quality of the data that will be received by the model of the machine are what its learning process and the data procession result are depending on. ;
ELEMS_HIER3;Data quality;
ELEMENT_HIRE_TEXT3;Some types of data are complex, and simple nodes cannot accurately recognize what they are but are able to refer them to a generalized group. To determine the exact classes, you will need to use more complex nodes \n\nRemember that it is not always advantageous to recognize objects in as much detail as possible;
MEETML1;Training model;
MEETML_TEXT1;At this screen you will be testing your AI\n\nAI acts based on the data you've been recognizing when building your scheme;
MEETML2;Training and testing;
MEETML_TEXT2;Here you can see the training, test and release runs \n\nTrain your car, test it and release it!;
MEETML3;Learning options;
MEETML_TEXT3;All possible behavior patterns of your car are the 'specimen' (or, in terms of machine learning, 'solutions') of your 'population'\n\nIn this section you can set up parameters of the 'population'\n\nThere are only 2 of them for now, but you'll see more in next levels;
MEETML4;Supervised run;
MEETML_TEXT4;At this stage you can teach the AI to recognize objects but this is not proper machine learning yet\n\nThis is why, having created a scheme, you can manually train your AI to drive\n\nUse WASD or arrow keys to drive and AI will try to reenact your moves afterwards;
MEETML5;Driving a car;
MEETML_TEXT5;Here you can see how AI controls the car\n\nGreen zone in the front (called 'Lidar') shows what your AI 'sees' \n\nInformation about obstacles comes from your recognizing algorithm. Without this data AI will be virtually blind and won't be able to tell one object from another\n\nOn the right you can see the AI's decisions visualized;
GENETIC_POPSIZE1;Population and selection;
GENETIC_POPSIZE_TEXT1;Each iteration of learning (an 'epoch') contains several  solutions (regulated by 'population size' parameter)\n\nAt the end of an epoch only the best solutions get to survive and multiply ('selection percentile' parameter);
GENETIC_POPSIZE0;Genetic algorithm;
GENETIC_POPSIZE_TEXT0;"Genetic algorithm is a subcategory of supervised learning method\n\nIt works pretty much like natural selection does in real life\n\nThe 'species' cross-breed, multiply and mutate: in theory, after many iterations this could give birth to the perfect ""specimen"" (or so we hope)";
GENETIC_POPSIZE2;Starting generation;
GENETIC_POPSIZE_TEXT2;Genetic algorithm is not too stable (pretty much like natural selection)\n\nSo if you feel that your car is not making much progress, you can try to generate a new population\n\nJust make sure to not overuse this feature;
GENETIC_MUT;Mutations;
GENETIC_MUT_TEXT;At the end of an epoch solutions can mutate. The probability of this is regulated by 'species mutation probability' parameter\n\nWhen a solution mutates, several 'genes' from its 'chromosomes' are selected and altered\n\nThis process is regulated by 'gene mutation probability' parameter;
TYPE;Type;
REC_ACC;Recognition accuracy;
GENETICCART0T;Reinforcement learning 1;
GENETICCART0SHORT;Reinforcement learning 1;
GENETICCART0FROM;notacat@meow.cat;
GENETICCART0;Helow,\nYouz maek good car. But why humanz draiv car to tune it? Pleaz make computerz learn itselve, we don’t haz many human driverz but we haev many carz\nYourz, Dr. Meo W. Katz, Human person;
NEW_RANDOM_SEED;Set new seed;
GENETICCART1T;Reinforcement learning 2;
GENETICCART1SHORT;Reinforcement learning 2;
GENETICCART1FROM;notacat@meow.cat;
GENETICCART1;"Helow,\nThankz for making a car. Kan you pleaz improv the car now? Iz making mistakes when too many carz on road\n\nYourz, Dr. Meo W. Katz, Human person\n";
GENETICCART2T;Reinforcement learning 3;
GENETICCART2SHORT;Reinforcement learning 3;
GENETICCART2FROM;notacat@meow.cat;
GENETICCART2;Helow,\nCar drivez good when strait, thank yous! But bumpz into things from the saeds and behaind, other carz and such. Catz get scaerd. Can pleas make carz recognaiz things from othe directions?\nYourz, Dr. Meo W. Katz, Human person;
GENETICCART3T;Reinforcement learning 4;
GENETICCART3SHORT;Reinforcement learning 4;
GENETICCART3FROM;notacat@meow.cat;
GENETICCART3;Helow,\nYouz maek veery good AI! But doez not good on wide roadz :( :( :( Can you maek carz drive highwaes so our catz could go meet thear frendz from other towns?\nYourz, Dr. Meo W. Katz, Human person;
TARGET_SPEED;Target average speed;Vitesse moy. de la cible
GENETIC_CAR0 BLOCK;Road \ object SIFT1;
GENETIC_CAR1 BLOCK;Road \ object SIFT2;
GENETIC_CAR2 BLOCK;Basic Front-Side 1;
GENETIC_CAR3 BLOCK;Basic Front-Side 2;
MEETML6;Target average speed;Vitesse moyenne de la cible
MEETML_TEXT6;The goal in this type of tasks is to make the AI clever enough to be able to reach the target average speed level;
ENVIRONMENT;Environment;Environnement
ROAD;Road;Route
OBJECT;Object;Objet
ROAD_BORDER;Road border;
CAR;Car;Voiture
UNKNOWN;No info;
CAR1;Passenger car;
CAR2;Truck;
CAR3;SUV;
SHOP_TUTORIAL1;Store;
SHOP_TUTORIAL_TEXT1;Hey, have you seen our shop yet?\n\nWhy earn money if you’re not spending money?\n\nWe’ve got cool hardware to boost your schemes, new blocks, cat outfits, even an aloe (and much more)!\n\nCheck out our wares!;
WHSHOP;"""Banhammer"" miniature";
WHDESCR;Cat marine;
REVIEW1;Would you please rate the game? Feedbacks are important and empower our cats!\n\nThank you;
REVIEW2;Maybe you could elaborate in a short review on our page? Just a couple of words and a thumbs-up would make us a bery happy bunch of developers;
REVIEW3;No one’s perfect and we totally get it. But maybe you could spill the beans on what you didn’t like so much on our Discord server?\n\nWe know we can make the game better, but without your feedback it’d be so much harder...;
REVIEW4;4 out of 5 is tremendous, thank you! But would you maybe share your thoughts on what we need to get that one last star that got away?\n\nWe’ve got a cozy Discord server to discuss the game with our players, don’t hesitate to come by!;
REV_HEADER1;Cat roasting time!;
REV_HEADER2;Wow, 5 cats! Thanks!;Wow, 5 chats ! Merci !
REV_HEADER3;It's OK! ;C'est d'accord !
REV_HEADER4;Almost there!;
SENDANALYTICS;Send;Envoyé
WTL_LINK;https://store.steampowered.com/app/619150/#review_create;
MEDAL_TUTORIAL_TEXT1;Your efficiency is measured not just in money, but with medals, too! Medals have influence on your story progression (while boosting your self-esteem at the same time!)\n\nYou can improve your result later on;
MEDAL_TUTORIAL1;Of medals;
MEDAL_TUTORIAL_TEXT2;Better medals means more money for completing a task.\n\nIt also affects the story\n\nImportant note: although you will be able to replay a level and get a better medal later on, you won't be getting extra money for that;
MEDAL_TUTORIAL2;Money;Argent
MEDAL_TUTORIAL_TEXT3;Depending on the number of points obtained per epoch, you will reach different successes in deciphering your cat's speech!\n\nIf the results you end up with do not go well with you, you can improve the results of the epoch by replaying the levels and receiving additional points in additional tasks;
MEDAL_TUTORIAL3;Science;Science
G/B DIVIDE;Good day, we're from a public school.\n\nSummer exams have passed here already, the results are attached to the letter. Could you process it and predict which of the students will be able to enter the MIT?;
G/B DIVIDET;Applicants;
G/B DIVIDESHORTT;Applicants;
G/B DIVIDEFROM;Spanishschool@cat.meow;
G/B DIVIDE BLOCK;G/B Divide;
CLOSE;Close;Fermer
CTRLZ_CTRLY;Undo / Redo;Annuler / Rétablir
CTRL+Z;Ctrl+Z;Ctrl+Z
CTRL+Y;Ctrl+Y;Ctrl+Y
welovegamesPROMO;The cat was unlocked;
SET_DEFAULT_POPUP;Restore all parameters to default values and reset car AI;
REFRESH_AGENT_POPUP;Reset car AI without changing any parameter;
SET_DEFAULT_ATTENTION;Do you really want to restore all parameters to default values and reset car AI?;
REFRESH_AGENT_ATTENTION;Do you really want to reset car AI?;
SAVEGAMETYPEHD;Do you really want savegames to be stored on local hard disk?;
SAVEGAMECAUTIONHD;Disabling cloud save won't allow savegames to move between devices!;
SAVEGAMETYPECLOUD;Do you really want to upload savegames to cloud?;
SAVEGAMECAUTIONCLOUD;Enabling cloud save will allow savegames to move between devices.;
RNA VIRUS;"Good day, I am representing a Center of Virology. \n\nWe heard that you are taking part in scientific projects, so we decided to contact you.
We are studying a dangerous virus that is prevalent in African countries. We managed to stop its spreading for a while, but this virus is characterized by frequent evolution and we have to start everything from scratch over and over again in order to put an end to it. We want to create an algorithm for predicting virus' evolution based on the change in its two structures. \nWe have all the accumulated data, but we need your help!";
RNA VIRUST;Center of Virology;
RNA VIRUSSHORTT;Center of Virology;
RNA VIRUSBLOCK;RNA;
RNAFROM;centervirus@meow.cat;
EPOCH_LIMIT;Epochs quantity available to train;
LIDAR_1;Front lidar;
LIDAR_0;Left lidar;
LIDAR_4;Right lidar;
LIDAR_3;Behind lidar;
TRAIN_INACTIVE_POPUP;The maximum number of epochs has been reached;
ARMA_GAME;ARMA, this block predicts the continuation of numerical sequences \n\nAdditional ARMA colors the output elements in colors if the quality of the prediction is high \n\nSometimes to achieve this quality, several ARMA blocks are required;
ARMA_WIKI_URL;https://en.wikipedia.org/wiki/Autoregressive%E2%80%93moving-average_model;
ARMA_YOUTUBE_URL;https://youtu.be/Pg0RnP1uLVc;
ARMA_COURSERA_URL;https://ru.coursera.org/lecture/practical-time-series-analysis/arma-properties-and-examples-VyVm0;
ARMA_HISTORY;ARMA is a special machine learning model, specifically adapted to work with time-dependent numerical data.\n\nIt can predict future indicators basing on a set of previous values. It is often used in economics, for example, to predict exchange rates.;
ARMA;ARMA;
CUSTOM_LIDAR_HEADER;Lidar settings;
ISCAR;SIFT: Classification of objects;
dayzruPROMO;The cat was unlocked;
AAVAKPROMO;The cat was unlocked;
STOP_TRAIN_ATTENTION;Your model has achieved the target speed level. Further learning will not improve the model but might make it more expensive;
LIDAR_SCHEME_TUT_BODY;On most levels you'll have access to several lidars (the front and the side ones). Data from each of them can be processed separately;
LIDAR_SCHEME_TUT_TITLE;Lidars;
LIDAR_TUT_TITLE1;Field of view customization;
LIDAR_TUT_BODY1;You can edit the AI's field of view by adding or removing lidars from the slots\n\nAdding more lidars will make learning more effective (and more expensive as well);
LIDAR_TUT_TITLE2;Technics;
LIDAR_TUT_BODY2;You can use different Lidars to customize the machine\n\nMore powerful machines work better, but require more servers for making calculations\n nEach type of Lidar can be installed in any slot. Depending on the slot, Lidar grants different advantages.;
CROSS_TUT_TITLE;Crossover;
CROSS_TUT_BODY;Before this stage, your 'specimen' could only mutate and multiply\n\nCrossover allows two species to cross-breed and produce offsprings who will inherit both parents' traits;
FAST_GEN_TUT_TITLE;Fast change of generations;
FAST_GEN_TUT_BODY;This setting will allow you to create more 'children' in each era by destroying 'parents'.\nIt will increase the speed of evolution, but will reduce the stability of learning.;
MUTATION_RATE_TUT_BODY;Mutation rate defines how drastically a gene will change\n\nFeel free to experiment with it!;
MUTATION_RATE_TUT_TITLE;Mutation rate;
LEFT_LIDAR_STATS;Left lidars statistic;
FRONT_LIDAR_STATS;Front lidars statistic;
BEHIND_LIDAR_STATS;Rear lidars statistic;
RIGHT_LIDAR_STATS;Right lidars statistic;
ARMA COLOR;Hello!\n\nI am working in the well-known Rorex exchange company, we are engaged in currency transactions. I am bout to be promoted to the head of one of the projects, the main goal of which is to accurately predict the rate of a certain currency at the time of our need. The forecast should be made for a short-term period. \nCan you write such a program for us?;
ARMA COLORT;Rorex Company;
ARMA COLORSHORTT;Rorex Company;
ARMA COLORFROM;rorex_company@meow.cat;
SAVEGAMEPROBLEM;We were unable to load this save game correctly;
SAVEGAMECORRUPTED;Corrupted Savegame detected;
ARMA_FULL_NAME;ARMA (autoregressive moving-average model);
ISCAR_GAME;Processes Objects to categorize them as a Car or a Road Border\n\nIf a piece of data is not an Object, the data will be corrupted\n\nCars are sent to the upper slot and Road Borders - to the lower;
NON_ML_CAR;Helow,\nWe iz a society of peoplz who love cats. We wantz our cats to haz oll the best. We wantz catz to drive cars with no humans insaed. But catz have no hands catz has paws. Kan yous make a car that self drive?\nYourz, Dr. Meo W. Katz, Human person\n\np.s. pleaz excuz our gramar, we ar not catz we ar humanz but we cant type well becuz we has paws and no handz. Terribl car accident, bad surgeree. Iz why we need a selv drivink carz haha;
NON_ML_CART;Reinforcement learning 0;
NON_ML_CARFROM;notacat@meow.cat;
NON_ML_CAR BLOCK;Road \ object SIFT;
STOP_TRAINING_ATTENTION;AI finished training;
ONLY_TEACH_RUN_TEXT;"1. Launch ""Supervised run"" and drive the car manually to record your actions (pay attention to what your vehicle ""sees"" on the lidars) \n\n2. Launch ""Learning"", so the machine learning algorithm would try and reiterate your actions\n\n3. Experiment!\n\n4. Test!\n\n5. Release it and earn some cash!";
FAST TEXT COPY1 BLOCK;RNN + RNN;
INFO;Information;
SAVESSYNCTOCLOUD;Would you like to upload local savegames to cloud now?;
SAVESSYNCTOCLOUDINFO;This might take some time depending on the savegame count.;
INPUT;Input stream;
EXAMPLE_QUERY;How to learn ML;
EXAMPLE_AUTHOR;Nagibator666;
EXAMPLE_MESSAGE;Use this shit;
REPLAYFINISHED;Replay Finished!;
REPLAYFINISHEDINFO;Replay finished with no errors;
LEARN_BLOCK_1;Continue;
LEARN_BLOCK_2;Go to task list;
LEARN_BLOCK_3;Continue;
LEARN_BLOCK_4;Continue;
LEARN_BLOCK_5;Continue;
LEARN_BLOCK_6;Continue;
LEARN_BLOCK_7;Continue;
EXAMPLE_HEADER;Theme name;
BAG_OF_WORDS;Bag of words;
SAVEGAMECLOUDONLY;Your latest savegame was stored in the cloud but now the cloud seems to be disabled!;
SAVEGAMECLOUDONLYINFO;Cloud is unavailable and local savegames will be used instead. Please enable cloud service or restart Steam.;
SAVEGAMELOCALONLY;Your latest savegame was stored locally and Steam cloud is now available.;
SAVEGAMELOCALONLYINFO;Would you like to upload local savegames to the cloud now? Existing saves will be overwritten!;
CBW_SOMETHING_WRONG;Seems like something goes wrong;
CBW_TRY_AGAIN;Try again;
OUTSTARPROMO;The cat was unlocked;
CB_WRONG_CONNECT;Seems like something connected wrong;
CB_NOT_ALL_CONNECTED;All sockets must be connected;
RESEARCH_PROGRESS;Cat speech recognition system:;
ANTIQ_TASKT;Recognizing cat on pictures :;
BASIC_TASKT;Recognizing basic cat emotions :;
GENETIC_TASKT;Improved recognition of cat emotions :;
NEURAL_TASKT;Recognizing cat speech :;
DEEPL_TASKT;Improved recognition of cat speech and emotions :;
ANTIQCT;Time flies!;
BASICCT;Time flies!;
GENETICCT;Time flies!;
NEURALCT;Time flies!;
DEEPLCT;Time flies!;
ANTIQC;You have reached the end of the epoch! Click on one of the medals to proceed further in the story;
BASICC;You have reached the end of the epoch! Click on one of the medals to proceed further in the story;
GENETICC;You have reached the end of the epoch! Click on one of the medals to proceed further in the story;
NEURALC;You have reached the end of the epoch! Click on one of the medals to proceed further in the story;
DEEPLC;You have reached the end of the epoch! Click on one of the medals to proceed further in the story;
EXPERT_PROGRESS;;
SKIP_COMICS;Skip;
COMPLETE_COMICS;Continue;
ENTER_REQUEST;Enter search request...;
FORUM_AUTHOR1;DogdayZ;
FORUM_AUTHOR2;DrCoder;
FORUM_AUTHOR3;he11R@iZ3R;
FORUM_AUTHOR4;DawKINGz;
FORUM_AUTHOR5;WatsonVSCrick;
FORUM_AUTHOR6;DCobb;
FORUM_MESSAGE1_1;Hey everyone, can you believe my cat? That little devil has debugged my code. Again. He definitely has something to say, so I decided to make some sort of… err… device which would help me understand him? Give me advice, wish me luck maybe?\n\nP.S. I’m not insane, my mom had me tested.;
FORUM_MESSAGE1_2;Don’t rush ahead of yourself: making a device that would be able to detect the cat would be a nice start. You can work with video, sounds etc. when the time is right;
FORUM_MESSAGE1_3;Heyyyy, a couple of days ago I’ve been reading about how <color=#f05f4a>expert system</color> can be applied for detecting animals and writing chat bots! The newspaper was called <color=#f05f4a>Deep News</color>, I’ll be sending you my copies once I’m done with them.;
FORUM_MESSAGE2_1;Hey is there any way to detect the cat WITHOUT using expert systems? It works for texts but with pictures... Not so much. Furthermore, that cat just wont sit still :(;
FORUM_MESSAGE2_2;That it does (not)... Try decision trees then! Those are like expert systems but on steroids. Once you feel comfortable around them, try SIFT: this little devil is way more effective with pictures. Also works nicely when paired with other algorithms!;
FORUM_MESSAGE2_3;or u can use nails or glue or smth... cmon is just a cat it wont fight u back .. ijk pls dont use anythin I mentioned on an actual cat;
FORUM_MESSAGE3_1;heya, so I’ve managed to make my computer detect the cat. but that beast is a complicated soul, it definitely has more to tell. maybe it's time to go next level and start recognizing emotions...;
FORUM_MESSAGE3_2;ever heard of perceptrons? they were invented in the 60s to recognize written text. everyone knows that everything invented in the sixties is awesome by default: the double helix, rocknroll, lava lamps!;
FORUM_MESSAGE3_3;also you can maybe switch to dogs instead of cats? decision trees worked like a magic for my Pluto! Only you need to use multiple trees… like a forest (that's why it's called 'random forest' duh);
FORUM_MESSAGE4_1;okay, Ima out of ideas. half a time the cat’s emotion is recognized as ‘proud & classy’ it’s the time my cat is usually licking unspeakable parts of its body… I guess it feels real classy while doing so, but what if im wrong?;
FORUM_MESSAGE4_2;Try the genetic algorithm, genes rule! Wait, or was it ‘gin’? Or maybe a ‘genie’... Gotta check it out;
FORUM_MESSAGE4_3;Genetic algorithm is the answer! but you’d need multiple cats to properly train it.;
FORUM_MESSAGE4_4;geez u guys are so stuck in the 80s. @Player come back when you sick of waiting for millions of years while natural selection works its magic. Worked with carbon-based lifeforms, didnt it?;
FORUM_MESSAGE5_1;Gotta admit @DrCoder was probly right: this genetic algorithm is just too clumsy. especially now, when I'm starting to work with speech recognition...;
FORUM_MESSAGE5_2;hey cmon, you haven’t even waited for a year! have some respect towards the Natural Selection, why don’t you!;
FORUM_MESSAGE5_3;yeah, they've made a lot of improvements to perceptrons since old man Rosenblatt was around... now they tend to join multiple perceptrons in big bad neural networks. something like that could work for you but don't forget gradient descent: it's like a life coach for your 'neurons', helps them keep on the right track;
FORUM_MESSAGE6_1;Not sure if I’m on the verge of a breakthru or completely stuck. The cat talks! But all I'm getting seems to be a random set of words... Is there a way to get at least one-two sentences out of it?;
FORUM_MESSAGE6_2;Chill out. The Internet has taught you well, now is the time for ultimate trial! Try deep neural networks (ARMA, RNN etc.), they work good with speech, emotions and predicting things like that. Should work;
FORUM_MESSAGE6_3;We need to go deeper!;
FORUM_MESSAGE6_4;Who was dat guy?;
FORUM_QUERY1;how to recognize animal speech;
FORUM_QUERY2;how to recognize a cat in the picture;
FORUM_QUERY3;animal emotions recognition;
FORUM_QUERY4;complex emotions recognition;
FORUM_QUERY5;animal speech recognition;
FORUM_QUERY6;wth am I doing now pls help;
FORUM_MESSAGE1_4;Hey again, I’ve tried that expert system and it hardly makes any sense… Squares are floating from left to right, is that what’s the fuzz is all about the machine learning? Are you guys actually working there?;
FORUM_MESSAGE1_5;This is called ‘visual programming’, my fellow dude! Yes, this is how it’s supposed to work: the expert system analyzes your data input (from the camera) and checks if there’s a cat on them. No, it’s not what machine learning is all about, it will get to hardcore soon enough!;
FORUM_HEADER1;Recognizing animal speech?;
FORUM_HEADER2;Finding a cat in the picture;
FORUM_HEADER3;Cat emotions recognition;
FORUM_HEADER4;Cat emotions recognition: part 2;
FORUM_HEADER5;Cat speech recognition: how to?;
FORUM_HEADER6;Cat speech recognition: out of ideas;
COMICS_PROGRESS_BRONZE;Scores to bronze;
COMICS_PROGRESS_SILVER;Scores to silver;
COMICS_PROGRESS_GOLD;Scores to gold;
COMICS_TUTORIAL_HEADING1;Git Gud!;
COMICS_TUTORIAL_BODY1;Coding is hard, ok? So, if you want to understand that cat’s speech properly, you better earn yourself some gold medals!\n\nAt the end of each era, you’ll unlock up to three possible endings, depending on your performance. Don’t worry: you can always improve your score by re-playing certain levels at any time\n\nClick on the medal to see this era’s ending!;
COMICS_TUTORIAL_HEADING2;Git Gud!;
COMICS_TUTORIAL_BODY2;At the end of each era, you’ll unlock up to three possible endings, depending on your performance.\n\nDon’t worry: you can always improve your score by re-playing certain levels at any time;
COMICS_TUTORIAL_BODY3;Click on the medal to see this era’s ending!;
FIRST_TREE_TUTORIAL;Behold the Task Tree!\n\nThis is the map of your progression in the game. Vertical progression stands for story quests, horizontal branches are optional.\n\nIcon colors stand for different types of machine learning techs used in respective tasks.\n\nSounds pretty simple (or so we hope);
FIRST_TREE_TUTORIAL_TITLE;Freelance and practice;
ATTENTIONCB;Attention;
DRAGLINETUTORIALSTARTGAME;To become a programmer, you must master your art of turning the computer on!\n\nClick on the flashing triangle and drag to connect the power outlet with your PC, screen and keyboard\n\nPress 'Deploy'\n\nCongratulations, you're (almost) a programmer now!;
CB_NOT_ALL_CONNECTEDSTARTGAME;You need to plug in the hardware to start working!;
TUTORIAL_EXPERT_LEARNT;Training: Expert Systems;
TUTORIAL_DSTREE_LEARNT;Training: Descision Trees;
TUTORIAL_ROSENBLATT_LEARNT;Training: Rosenblatt's Perceptron;
TUTORIAL_GENETIC_LEARNT;Training: Genetic Algorithm;
TUTORIAL_PERCEPTRON_LEARNT;Training: Perceptrons;
TUTORIAL_RNN_LEARNT;Training: RNN;
FORUM_RUN_:;Run:;
R/B DIVIDE_DATA_2;Input from camera;
FORUM_MESSAGE1_6;well, I’m not very good at it yet, apparently. Any ways for me to practice?;
FORUM_MESSAGE1_7;"I’m working as a freelancer and the amount of contracts is crazy! I’ll forward you some routine jobs I don’t have time too, it will help you get on your feet (and earn some cat-bucks as well!). Check your mail now ;)\n\nP.S. You're still paying for the servers tho";
FORUM_MESSAGE1_8;Hey @Player, noob advice: there’s an autohelp for each new technology, very convenient. I’ve turned it on for you now. No need to thank me. But you probably want to change your password, ‘Mycattalks123’ is pretty obvious;
DSTREE_SCHEME BLOCK;R/B tree divide;
G/B DIVIDE_DATA_2;Exam Results;
WITHOUT BLUE_DATA_2;Profile data;
ONLY RED_DATA_2;Profile data;
ONLY RED FAST_DATA_2;Profile data;
DSTREE_SCHEME_DATA_2;Camera feed;
ONLY RED FAST1_DATA_2;Cargo's data;
ONLY RED FAST2_DATA_2;People behavior data;
ONLY TRIANGLE_DATA_2;Scans of ancient documents;
ONLY TRIANGLE1_DATA_2;Egg's data;
CAR_PROCESSOR;RL Agent;
OUTPUT;Output stream;
FORUM_MESSAGE2_4;also feel free to boost your gear: parallel calculations on multiple servers work smoothly if you can afford it. and don't ditch those decision trees & SIFTs just yet: when combined, results of their work can surprise you;
R/B DIVIDE_RESULT_1;Photos with cat;
R/B DIVIDE_RESULT_3;Photos with no cat;
RNNCOLOR BLOCK;ARMA R/G;
STICKER_GOAL_0;Goal:\nLearn how to detect the cat in the pictures;
STICKER_GOAL_1;Goal:\nRecognize cat emotions;
STICKER_GOAL_2;Goal:\nRecognize complex emotions\n(sarcasm & such);
STICKER_GOAL_3;Goal:\n'Meow' -> \nHuman Language;
STICKER_GOAL_4;Goal:\nHave a meaningful conversation with the cat\n about life, the Universe and everything.;
STICKER_0;Eliza: world's first chat bot\n\nSo cute <3<3<3;
STICKER_1;Decision Tree\n=\nSmart Tree;
STICKER_2;SIFT:\ngood for\nrecognizing shapes;
STICKER_3;Perceptrons:\n1. Good for pictures\n2. Grampa prolly used it;
STICKER_4;Random forest\n>\nDecision tree\n\n(get in shop?);
STICKER_5;Genetic algorithm:\n1. can do stuff,\n2. very hard to teach :(;
STICKER_6;Gradient descent:\nlife coach for neural networks;
STICKER_7;RNN:\nThis bad node\ncan write a book;
STICKER_8;If you can read this,\nyou've almost finished\nthe game;
STICKER_9;Bid data == Big mess\n¯\_(?)_/¯;
STICKER_10;1111111111111115;
STICKER_11;1111111111111116;
STICKER_12;1111111111111117;
STICKER_13;1111111111111118;
STICKER_14;1111111111111119;
STICKER_15;1111111111111120;
STARTUP_PROFIT_LEGEND;<color=#53cf67>Profit</color> / <color=#f05f4a>Loss</color>;
STARTUP_USERS_LEGEND;<color=#ffbd18>Proc.</color> / <color=#f05f4a>Not proc.</color>;
HYPE;HYPE;
COMPBALANCEBODY;The number on the right indicates company's total funds\n\nIf a startup runs out of funds, it ceases to exist\n\nNext to it, you can see hype indicator: while a startup is on hype it attracts huge amounts of user attention\n\nBut it will wear off, eventually, so don't miss the moment when this bar turns grey;
